Country,Value
Algeria,87931
Angola,9542
Benin,1617
Botswana,4276
Burkina Faso,1041
Burundi,301
Cameroon,3432
Central African Republic,268
Chad,176
Comoros,84
Congo (Kinshasa),1646
Congo (Brazzaville),1049
Cote d'Ivoire,6791
Djibouti,403
Egypt,141326
Equatorial Guinea,455
Eritrea,609
Ethiopia,5831
Gabon,1052
"Gambia, The",275
Ghana,6289
Guinea,1280
Guinea-Bissau,147
Kenya,10418
Liberia,436
Libya,47114
Madagascar,1874
Malawi,906
Mali,543
Mauritania,1236
Mauritius,2769
Morocco,33905
Mozambique,1349
Namibia,1643
Niger,796
Nigeria,79182
Rwanda,686
Sao Tome and Principe,48
Senegal,3938
Seychelles,565
Sierra Leone,425
Somalia,517
South Africa,368611
Sudan,5534
Swaziland,1188
Tanzania,2651
Togo,1357
Tunisia,19923
Uganda,1533
Zambia,1819
Zimbabwe,13887
Afghanistan,781
Armenia,3465
Azerbaijan,29508
Bangladesh,27869
Bhutan,400
Brunei,6527
Cambodia,1977
China,3405180
Georgia,4536
Hong Kong SAR,40465
India,1186663
Indonesia,263419
Japan,1219589
Kazakhstan,127769
North Korea,76699
South Korea,447561
Kyrgyzstan,4529
Laos,972
Macao SAR,1635
Malaysia,126603
Maldives,499
Mongolia,7506
Myanmar,10088
Nepal,3234
Pakistan,106449
Philippines,73307
Singapore,49006
Sri Lanka,10161
Tajikistan,2237
Thailand,188355
Turkmenistan,35365
Uzbekistan,119951
Vietnam,53645
Albania,3022
Andorra,524
Austria,63696
Belarus,53469
Belgium,115709
Bosnia and Herzegovina,23223
Bulgaria,43531
Croatia,19644
Cyprus,6850
Czech Republic,124649
Denmark,47260
Estonia,15181
Faeroe Islands,711
Finland,52141
France,365560
Germany,829978
Greece,91616
Hungary,57238
Iceland,2164
Ireland,41345
Italy,451441
Latvia,6241
Lithuania,12200
Luxembourg,8240
North Macedonia,12064
Malta,2065
Moldova,3513
Netherlands,165363
Norway,38808
Poland,301691
Portugal,62966
Romania,89985
Russia,1558112
Slovakia,37312
Slovenia,14265
Spain,294434
Sweden,49794
Switzerland,39050
Turkey,216148
Ukraine,320774
United Kingdom,543662
Bahrain,18643
Iran,372703
Iraq,72445
Israel,62691
Jordan,15508
Kuwait,55181
Lebanon,15354
Oman,21896
Qatar,34730
Saudi Arabia,296935
Syria,51048
United Arab Emirates,112562
Yemen,14639
Australia,329605
Fiji,865
French Polynesia,631
Kiribati,33
Marshall Islands,77
"Micronesia, Fed. Sts.",136
New Caledonia,2299
New Zealand,32897
Papua New Guinea,2688
Samoa,139
Solomon Islands,165
Tonga,121
Vanuatu,81
Antigua and Barbuda,345
Argentina,141077
Aruba,2233
"Bahamas, The",1668
Barbados,1188
Belize,689
Bermuda,495
Bolivia,10224
Brazil,327984
Canada,534484
Cayman Islands,455
Chile,58694
Colombia,57924
Costa Rica,5475
Cuba,26039
Dominica,103
Dominican Republic,20117
Ecuador,20942
El Salvador,5743
Greenland,532
Grenada,191
Guatemala,9916
Guyana,1610
Haiti,1368
Honduras,5031
Jamaica,10319
Mexico,381518
Nicaragua,3762
Panama,5790
Paraguay,3689
Peru,30297
St. Kitts and Nevis,103
St. Lucia,330
St. Vincent and the Grenadines,158
Suriname,2127
Trinidad and Tobago,24514
Turks and Caicos Islands,15
United States,5713560
Uruguay,5306
Venezuela,152415
